customer_id,birth,price_first_item_purchased,gender,revenue,data_source
0000716464,12/30/1899,42.0,M,112.0,last_year_customers
0008dd99a0,6/21/1950,10.0,F,129.0,last_year_customers
0008dd99a0a,6/21/1950,22.0,F,,new_customers
00105d1128,1/22/1989,28.0,M,168.0,last_year_customers
001097c31c,7/2/1984,22.0,F,83.0,last_year_customers
001261e788,9/10/1988,57.0,M,217.0,last_year_customers
001261e788a,9/10/1988,10.0,F,,new_customers
00129f7328,12/30/1899,10.0,F,153.0,last_year_customers
0013c8d438,3/29/1979,15.5,M,61.0,last_year_customers
001c899397,8/10/1993,57.0,F,235.0,last_year_customers
001d9a3b5e,3/30/1991,22.0,F,81.0,last_year_customers
0020d6c60d,8/14/1974,10.0,M,154.0,last_year_customers
0022a1402b,3/20/1990,22.0,F,70.0,last_year_customers
0022a1402ba,3/20/1990,44.0,F,,new_customers
00230b1e80,11/11/1948,15.5,M,133.0,last_year_customers
00276a15ee,1/27/1992,117.0,F,260.0,last_year_customers
00296bba49,1/9/1990,44.0,M,93.0,last_year_customers
0029b2eb40,1/28/1985,57.0,F,325.0,last_year_customers
0029b2eb40a,1/28/1985,57.0,M,,new_customers
0031539b1d,12/30/1899,22.0,F,165.0,last_year_customers
0031eb3832,9/23/1956,15.5,F,93.0,last_year_customers
003b54cc1b,11/1/1967,78.0,F,220.0,last_year_customers
003e831008,12/30/1899,28.0,M,73.0,last_year_customers
0041b602d7,12/30/1899,15.5,M,63.0,last_year_customers
004236c4d2,10/6/1989,22.0,F,197.0,last_year_customers
0043ece337,1/18/1988,44.0,F,225.0,last_year_customers
0046431ddc,1/9/1984,42.0,M,99.0,last_year_customers
004b402a11,6/10/1971,22.0,F,171.0,last_year_customers
004ca7d5d4,12/30/1899,29.75,M,108.5,last_year_customers
004eec71bf,2/4/1961,42.0,F,241.0,last_year_customers
004fae62c5,2/14/1953,57.0,F,319.0,last_year_customers
004fae62c5a,2/14/1953,57.0,M,,new_customers
0052d3409f,7/22/1987,57.0,M,285.0,last_year_customers
0053a4434f,12/30/1899,42.0,F,153.0,last_year_customers
0053c3c5d1,5/10/1979,57.0,F,251.0,last_year_customers
0053c3c5d1a,5/10/1979,15.5,M,,new_customers
005462a215,10/29/1950,10.0,F,95.0,last_year_customers
005de26537,5/17/1961,67.5,F,301.0,last_year_customers
005de26537a,5/17/1961,78.0,F,,new_customers
00647659ce,12/30/1899,42.0,F,66.0,last_year_customers
0065c44c26,7/7/1988,42.0,M,96.0,last_year_customers
0066c00702,12/30/1899,57.0,F,218.0,last_year_customers
0066db3f61,12/30/1899,44.0,F,94.0,last_year_customers
00680310c6,12/30/1899,78.0,F,188.0,last_year_customers
006a07ee99,6/15/1979,44.0,M,197.0,last_year_customers
006b696dd3,11/11/1983,102.0,F,399.0,last_year_customers
006f38d041,12/30/1899,57.0,M,179.0,last_year_customers
006f38d041a,12/30/1899,10.0,M,,new_customers
00707c4092,7/14/1991,78.0,F,221.0,last_year_customers
0071cbe40e,12/5/1991,22.0,M,148.0,last_year_customers
007281852f,11/10/1977,44.0,F,107.0,last_year_customers
007879fd46,9/8/1976,42.0,M,92.0,last_year_customers
00799c4449,5/16/1976,117.0,M,168.0,last_year_customers
007d4ddc83,12/30/1899,15.5,F,157.0,last_year_customers
007dc2c44c,7/16/1986,10.0,F,123.0,last_year_customers
007e5f242c,10/9/1971,22.0,M,96.0,last_year_customers
007fe20411,12/15/1978,78.0,F,239.0,last_year_customers
0082b8e027,11/4/1952,15.5,F,69.0,last_year_customers
0083345f30,12/30/1899,44.0,F,95.0,last_year_customers
0083345f30a,12/30/1899,44.0,F,,new_customers
008336a2dc,7/18/1981,15.5,F,68.0,last_year_customers
008336a2dca,7/18/1981,28.0,F,,new_customers
00859a2c8ea,4/12/1977,57.0,F,,new_customers
0085e0c632,3/27/1977,44.0,F,121.0,last_year_customers
00871e25e2,12/30/1899,117.0,F,255.0,last_year_customers
008734aef0,1/30/1988,28.0,F,210.0,last_year_customers
0089663b9c,8/10/1965,22.0,M,149.0,last_year_customers
